GEOID,COUNTYFP_BG,COUNTYFP_CT
090116933003,011,180
090159025001,015,150
090158150002,015,150
090159044003,015,150
090159072003,015,150
090159081001,015,
090159002001,015,
090159001004,015,
090159001003,015,150
090158150001,015,
090159022001,015,150
090158301005,015,
090159061003,015,150
090159002003,015,150
090159071001,015,150
090159002002,015,
090034771013,003,110
090010809004,001,120
090011106012,001,
090011106023,001,140
090011106022,001,140
090011106011,001,140
090010351022,001,190
090010431004,001,190
090010354004,001,190
090010351012,001,190
090010551002,001,190
090012105022,001,190
090010351011,001,190
090010104005,001,
090010351021,001,190
090010351023,001,190
090010217012,001,190
090010216021,001,190
090010216023,001,190
090012453002,001,190
090010443001,001,190
090010451024,001,190
090012456002,001,190
090010443002,001,190
090010427004,001,190
090012105021,001,190
090010427003,001,190
090012456003,001,190
090010432001,001,190
090012456005,001,190
090012456004,001,190
090010101015,001,
090011106021,001,140
090010731004,001,120
090010354003,001,190
090010551004,001,190
090011102013,001,140
090012052004,001,190
090010216022,001,190
090010551006,001,
090012202005,001,190
090012202003,001,190
090012301004,001,
090010215022,001,190
090010215021,001,190
090012112022,001,190
090012108004,001,190
090012102022,001,190
090011052003,001,120
090012102012,001,190
090012101021,001,190
090012104011,001,190
090010503023,001,190
090010431001,001,190
090010733003,001,120
090012104012,001,190
090010214011,001,190
090010813004,001,120
090011051003,001,120
090011003004,001,
090010902005,001,120
090010904002,001,120
090010601003,001,120
090010214022,001,190
090010216011,001,190
090010216012,001,190
090012114005,001,190
090010728004,001,120
090010728002,001,120
090010106002,001,190
090010610001,001,120
090012301001,001,
090012301002,001,190
090010201011,001,190
090010211003,001,190
090010217024,001,190
090012571004,001,
090012571003,001,190
090012202004,001,190
090010211004,001,190
090010107001,001,190
090012202001,001,190
090012203002,001,190
090012305023,001,190
090010215013,001,190
090010214021,001,190
090010214013,001,190
090012112023,001,190
090012105024,001,190
090012105023,001,190
090012305024,001,190
090012112012,001,190
090012112021,001,190
090012112011,001,190
090012114004,001,190
090010551005,001,
090011002004,001,
090012101012,001,190
090012101011,001,190
090012102023,001,190
090012102021,001,190
090012102011,001,190
090010215011,001,190
090010201023,001,190
090010201021,001,190
090010201022,001,190
090010217023,001,190
090010217021,001,190
090010738002,001,120
090012101022,001,190
090012105012,001,190
090012106004,001,190
090012105011,001,190
090012104023,001,190
090010503021,001,
090010605002,001,120
090012104021,001,190
090012104022,001,190
090012052002,001,190
090010503011,001,
090010503022,001,190
090010214023,001,190
090010214012,001,190
090010215012,001,190
090011002005,001,120
090010503012,001,
090010217022,001,190
090010217011,001,190
090010104004,001,
090012002002,001,190
090011051002,001,120
090011003001,001,
090010733002,001,120
090010809003,001,120
090035151022,003,110
090034641024,003,110
090034875005,003,110
090034001012,003,
090034602043,003,
090034701006,003,110
090034771032,003,110
090034812002,003,110
090034842004,003,110
090034160004,003,110
090034731002,003,110
090034663002,003,110
090035106001,003,110
090034737005,003,110
090034302033,003,110
090035049003,003,110
090033301002,003,
090034771031,003,110
090035027002,003,110
090034841005,003,110
090035031023,003,110
090035042003,003,110
090035246002,003,110
090035031021,003,110
090034056007,003,140
090035033003,003,110
090034701002,003,110
090035028002,003,110
090035028003,003,110
090034977002,003,110
090034875004,003,110
090035104005,003,110
090035039002,003,110
090034841004,003,110
090034737003,003,110
090034969001,003,110
090034941001,003,110
090034206023,003,110
090034306022,003,110
090035151023,003,110
090035141031,003,110
090034975001,003,110
090035111001,003,110
090034302034,003,110
090034054011,003,
090034975004,003,110
090034304003,003,
090034301002,003,110
090034714004,003,110
090034641015,003,
090034663004,003,110
090034841002,003,110
090034622022,003,110
090035205013,003,
090034001022,003,110
090034001011,003,
090034206022,003,110
090034941005,003,110
090034054013,003,
090034206011,003,110
090034206021,003,110
090034206012,003,110
090035141042,003,110
090034771041,003,110
090034207002,003,110
090035141041,003,110
090035152001,003,110
090034641014,003,110
090034714001,003,110
090034058011,003,140
090034875003,003,110
090035027003,003,110
090034874001,003,110
090035027001,003,110
090035112002,003,110
090035104003,003,110
090035141032,003,110
090035014003,003,110
090034969005,003,110
090035031022,003,110
090035245012,003,110
090035031011,003,110
090034056006,003,140
090034842003,003,110
090035148001,003,110
090034969007,003,110
090034058012,003,140
090034306031,003,110
090035241006,003,
090034301003,003,110
090034304004,003,
090034003001,003,110
090035151025,003,110
090034771042,003,110
090034058021,003,140
090034058022,003,
090034602044,003,
090034701005,003,110
090034003003,003,110
090117025003,011,180
090117027004,011,180
090117027003,011,180
090117071005,011,
090117071006,011,180
090117051025,011,
090117051024,011,180
090117054003,011,180
090117161024,011,180
090117101005,011,180
090117101004,011,
090117101002,011,180
090117021003,011,180
090116964014,011,180
090116964012,011,180
090116968004,011,180
090116970004,011,180
090116964011,011,180
090116968003,011,180
090117151003,011,
090117151004,011,180
090117111004,011,
090117081003,011,
090117001006,011,180
090117001004,011,180
090116967014,011,180
090116601041,011,
090118707044,011,180
090118701005,011,180
090116952015,011,180
090116601042,011,130
090116967011,011,180
090116967012,011,180
090117001005,011,180
090117081004,011,
090117071004,011,
090116905003,011,180
090117054001,011,180
090117161014,011,180
090116601031,011,
090117141035,011,
090116903005,011,180
090117131003,011,180
090116964013,011,180
090116967013,011,180
090116970003,011,180
090117161012,011,
